Age,Gender,Year_of_Study,Monthly_Income_AED,Living,Transport_Mode,Order_Frequency,Order_Time,Preferred_Cuisines,Choice_Factors,Accept_Delay_for_Freshness,Uses_Apps,Used_Apps,Satisfaction_Score,Multi_Restaurant_Order,Willing_to_Wait_for_Fresh_Food,Max_Willingness_to_Pay_AED,Wants_Personal_Suggestions,Likes_Bundle_Deals,Cares_About_Sustainability,Empathy_Preference,Biggest_Frustration,Common_Problems,Sustainable_Rewards,Loyalty_Likelihood
27,Male,2nd Year,1196,Off-campus,Public Transport,6+,Lunch,"Others, Healthy","Speed, Sustainability, Reviews",Yes,Yes,"Zomato, Talabat, Uber Eats",2,No,Yes,25,No,No,Yes,Yes,Late delivery,"High price, Cold food, Poor packaging",No,4
24,Female,1st Year,1230,Off-campus,Ride-hailing,1-2,Varies,Healthy,"Quality, Reviews, Speed",No,No,None,4,No,Maybe,10,Yes,Maybe,No,Yes,Limited menu,"Cold food, High price",Yes,4
18,Prefer not to say,2nd Year,1225,Off-campus,Walk,3-5,Breakfast,Italian,"Reviews, Price",Yes,Yes,Zomato,2,Maybe,Yes,35,Maybe,Maybe,Yes,Yes,No tracking,"High price, Poor packaging, Late delivery",No,1
20,Female,1st Year,1916,Off-campus,Bike,1-2,Breakfast,"Fast Food, Italian, Indian","Sustainability, Price, Speed",Yes,Yes,"Talabat, Zomato, Others",2,Yes,Yes,23,Yes,Yes,Yes,No,High prices,"Limited variety, High price",No,4
25,Female,4th Year,947,On-campus,Bike,1-2,Breakfast,"Others, Italian, Indian","Sustainability, Speed, Price",Yes,Yes,Zomato,1,Yes,Yes,12,Maybe,Maybe,No,Yes,No tracking,"Late delivery, Poor packaging",Yes,4
20,Female,Postgraduate,1610,On-campus,Bike,3-5,Breakfast,"Fast Food, Indian","Speed, Quality, Price",No,No,None,1,No,Maybe,21,No,No,No,Doesn’t matter,Late delivery,Cold food,Yes,4
23,Male,1st Year,2108,On-campus,Public Transport,6+,Lunch,"Italian, Fast Food","Quality, Reviews",Yes,Yes,"Others, Uber Eats, Zomato",4,Yes,Maybe,19,No,Maybe,No,No,Cold food,"Cold food, Limited variety",No,4
23,Male,Postgraduate,1243,On-campus,Walk,3-5,Dinner,"Chinese, Fast Food, Others","Reviews, Price",Maybe,Yes,"Talabat, Others, Uber Eats",5,Yes,Maybe,16,No,No,Somewhat,No,Limited menu,"Limited variety, Late delivery",Yes,4
19,Female,3rd Year,1141,On-campus,Ride-hailing,1-2,Late night,"Healthy, Italian, Fast Food","Variety, Price, Quality",No,Yes,"Others, Talabat",2,No,Maybe,33,Yes,Maybe,No,Yes,No tracking,Poor packaging,Yes,5
21,Male,2nd Year,1384,Off-campus,Ride-hailing,0,Lunch,"Fast Food, Healthy","Speed, Price",No,Yes,Zomato,4,No,Yes,13,No,Maybe,No,No,Cold food,"High price, Cold food",Yes,5
18,Female,1st Year,2089,On-campus,Bike,3-5,Breakfast,"Italian, Chinese","Quality, Price, Sustainability",No,Yes,"Uber Eats, Talabat",2,Yes,Maybe,26,Maybe,Maybe,No,Yes,Late delivery,High price,Yes,5
19,Non-binary,3rd Year,1597,Off-campus,Walk,0,Lunch,Italian,"Variety, Reviews",Yes,Yes,"Zomato, Talabat",5,Yes,Maybe,11,Maybe,No,Somewhat,Doesn’t matter,High prices,Cold food,No,1
21,Male,4th Year,1234,On-campus,Walk,3-5,Varies,"Chinese, Fast Food","Speed, Variety, Sustainability",Yes,Yes,"Uber Eats, Talabat, Others",2,No,Yes,24,Maybe,Yes,Yes,No,Late delivery,"High price, Poor packaging",Maybe,3
18,Male,4th Year,1741,On-campus,Walk,3-5,Breakfast,"Healthy, Fast Food, Italian","Quality, Sustainability, Variety",Maybe,Yes,"Zomato, Others, Talabat",3,Maybe,Yes,27,Yes,No,Somewhat,No,Limited menu,"Limited variety, Poor packaging",No,1
26,Female,1st Year,948,Off-campus,Personal Vehicle,3-5,Late night,Fast Food,"Variety, Sustainability",No,Yes,Zomato,4,No,No,27,Yes,Yes,Yes,Doesn’t matter,High prices,"Limited variety, High price, Late delivery",Yes,5
18,Male,1st Year,1840,Off-campus,Personal Vehicle,3-5,Breakfast,"Chinese, Fast Food","Speed, Variety",Maybe,Yes,"Talabat, Others",1,Maybe,Maybe,25,No,No,No,Doesn’t matter,Late delivery,"Cold food, Limited variety, Poor packaging",Yes,1
20,Female,2nd Year,1704,Off-campus,Bike,1-2,Late night,Italian,"Price, Quality",No,Yes,Zomato,2,Yes,Maybe,22,Yes,Maybe,Somewhat,Yes,Limited menu,"Limited variety, Poor packaging, High price",No,3
22,Male,2nd Year,1346,Off-campus,Walk,1-2,Late night,"Italian, Others","Quality, Reviews",Yes,Yes,Uber Eats,4,Yes,Maybe,14,Maybe,Maybe,Somewhat,No,No tracking,"Cold food, Limited variety, Late delivery",Yes,4
25,Female,1st Year,1080,On-campus,Walk,1-2,Dinner,"Others, Italian, Indian","Price, Quality",Yes,Yes,Talabat,4,Yes,Maybe,14,Maybe,Yes,Yes,Doesn’t matter,Late delivery,"Limited variety, Cold food, High price",No,2
18,Male,2nd Year,1056,Off-campus,Ride-hailing,3-5,Dinner,"Chinese, Indian, Others","Variety, Speed",No,Yes,"Talabat, Zomato",2,Yes,Maybe,27,Maybe,Yes,Somewhat,No,High prices,Cold food,Maybe,5
24,Female,4th Year,1767,On-campus,Ride-hailing,3-5,Lunch,"Fast Food, Others, Chinese","Sustainability, Price",Yes,Yes,"Zomato, Talabat, Uber Eats",1,Maybe,No,12,Yes,No,Somewhat,Doesn’t matter,High prices,"Late delivery, Cold food",Yes,5
22,Female,Postgraduate,2114,On-campus,Bike,3-5,Lunch,"Fast Food, Others, Healthy","Sustainability, Reviews, Variety",Yes,Yes,"Talabat, Others, Uber Eats",1,Maybe,No,10,Maybe,No,Yes,No,Late delivery,High price,Maybe,3
19,Female,2nd Year,1181,Off-campus,Walk,3-5,Late night,Indian,"Variety, Speed",Maybe,Yes,"Others, Uber Eats",2,Yes,Yes,39,No,Yes,Somewhat,Doesn’t matter,No tracking,"Limited variety, Cold food, Late delivery",Maybe,4
23,Male,Postgraduate,1729,On-campus,Bike,6+,Breakfast,"Chinese, Fast Food","Speed, Price, Sustainability",Yes,Yes,"Zomato, Talabat, Others",4,Yes,No,22,Yes,Yes,Somewhat,No,Cold food,High price,Yes,4
22,Female,2nd Year,456,On-campus,Ride-hailing,1-2,Varies,"Chinese, Italian, Healthy","Speed, Reviews, Variety",Yes,Yes,Zomato,1,Yes,Yes,31,Maybe,No,No,Yes,High prices,"Cold food, High price",Yes,2
20,Female,2nd Year,1207,Off-campus,Ride-hailing,0,Varies,"Healthy, Others","Reviews, Quality, Sustainability",Maybe,Yes,Uber Eats,2,Maybe,Maybe,33,Maybe,Yes,No,No,High prices,"Cold food, Limited variety",No,4
22,Male,1st Year,1484,Off-campus,Personal Vehicle,1-2,Breakfast,"Fast Food, Healthy","Price, Reviews",Maybe,Yes,"Uber Eats, Others",2,Yes,Yes,25,Yes,Yes,No,Yes,Cold food,Cold food,No,3
21,Male,3rd Year,1045,On-campus,Bike,3-5,Breakfast,"Italian, Fast Food","Sustainability, Reviews, Variety",Yes,Yes,"Uber Eats, Talabat, Others",2,Yes,Yes,21,Yes,Yes,No,Yes,Limited menu,Late delivery,Yes,4
22,Male,Postgraduate,1031,On-campus,Bike,1-2,Dinner,"Italian, Others","Price, Quality",Maybe,Yes,"Uber Eats, Others",4,Yes,Yes,21,No,Yes,No,Yes,Late delivery,"Cold food, Late delivery, High price",No,3
23,Female,3rd Year,1166,On-campus,Walk,3-5,Varies,Indian,"Variety, Price",Maybe,Yes,Uber Eats,1,Yes,No,41,Yes,Maybe,Somewhat,No,No tracking,"Cold food, Limited variety, High price",Maybe,5
25,Female,2nd Year,1646,On-campus,Walk,3-5,Late night,"Chinese, Italian, Indian","Reviews, Sustainability, Variety",Yes,Yes,Uber Eats,4,Maybe,Yes,19,Maybe,Maybe,Somewhat,No,Late delivery,Limited variety,Maybe,5
18,Female,3rd Year,1406,Off-campus,Personal Vehicle,6+,Lunch,"Healthy, Chinese, Others","Price, Reviews",Yes,Yes,Others,3,Yes,Yes,26,No,Yes,No,Yes,Cold food,"Late delivery, Poor packaging",Yes,5
27,Male,1st Year,380,On-campus,Public Transport,6+,Dinner,Others,"Speed, Quality",Yes,Yes,"Uber Eats, Zomato",1,Yes,Yes,31,Maybe,No,Yes,Doesn’t matter,Limited menu,"Poor packaging, Late delivery, Cold food",No,1
18,Male,4th Year,439,Off-campus,Public Transport,0,Varies,"Italian, Healthy","Variety, Price",No,Yes,Uber Eats,4,Yes,Yes,27,Maybe,Maybe,No,No,Late delivery,"Cold food, Late delivery, Limited variety",Yes,5
21,Female,3rd Year,1196,On-campus,Public Transport,1-2,Breakfast,"Healthy, Italian, Indian","Variety, Reviews, Sustainability",Yes,Yes,"Others, Zomato",1,Yes,Yes,35,Maybe,No,Somewhat,No,High prices,"Cold food, Late delivery",Maybe,3
23,Female,2nd Year,1728,Off-campus,Bike,3-5,Varies,Italian,"Price, Sustainability, Variety",Maybe,Yes,"Talabat, Uber Eats, Others",3,No,Yes,21,Yes,No,Yes,No,Cold food,Late delivery,Yes,2
22,Prefer not to say,3rd Year,126,On-campus,Bike,1-2,Late night,Italian,"Quality, Variety",No,Yes,Talabat,5,Yes,Yes,31,Yes,Maybe,No,No,No tracking,Poor packaging,Yes,4
20,Male,3rd Year,1250,Off-campus,Ride-hailing,1-2,Dinner,Italian,"Speed, Variety, Price",No,Yes,"Talabat, Zomato, Uber Eats",2,Yes,Yes,10,Maybe,No,Yes,Yes,No tracking,"Cold food, Poor packaging",Yes,5
21,Female,1st Year,1236,On-campus,Bike,3-5,Breakfast,Others,"Variety, Reviews, Quality",Maybe,Yes,Zomato,4,Maybe,Yes,38,Yes,No,No,Doesn’t matter,High prices,"Cold food, High price",Yes,1
20,Male,3rd Year,2194,Off-campus,Bike,1-2,Late night,"Chinese, Italian, Indian","Quality, Sustainability",Maybe,Yes,"Talabat, Others",3,Yes,Yes,36,Maybe,Yes,Somewhat,Doesn’t matter,Late delivery,"Limited variety, High price",Maybe,1
20,Male,1st Year,1307,On-campus,Bike,3-5,Lunch,Healthy,"Speed, Price",Yes,Yes,"Uber Eats, Zomato",3,No,Maybe,21,Yes,Yes,No,Doesn’t matter,High prices,"Late delivery, High price",Yes,3
24,Female,4th Year,1691,On-campus,Personal Vehicle,3-5,Dinner,"Others, Chinese","Reviews, Quality",Yes,Yes,Zomato,1,Yes,Yes,29,Yes,Yes,Yes,Doesn’t matter,Limited menu,Cold food,Yes,2
22,Female,4th Year,1570,Off-campus,Bike,0,Late night,"Fast Food, Indian, Healthy","Sustainability, Speed, Price",No,Yes,"Uber Eats, Talabat, Zomato",1,Yes,Yes,33,Yes,Maybe,Somewhat,Yes,No tracking,Late delivery,No,5
20,Prefer not to say,4th Year,434,Off-campus,Walk,1-2,Late night,"Italian, Fast Food, Healthy","Sustainability, Variety, Reviews",Yes,Yes,"Others, Uber Eats",2,No,Yes,14,No,Yes,No,No,No tracking,"Cold food, Poor packaging, Late delivery",Yes,5
24,Male,3rd Year,1884,Off-campus,Walk,1-2,Breakfast,"Italian, Chinese","Variety, Quality",Yes,Yes,Uber Eats,1,Maybe,Yes,23,Yes,No,No,No,Late delivery,"Limited variety, Poor packaging",No,1
22,Male,3rd Year,1607,Off-campus,Ride-hailing,3-5,Lunch,Italian,"Variety, Price",No,Yes,Zomato,4,Yes,Yes,11,No,No,No,Yes,No tracking,"High price, Poor packaging, Limited variety",Yes,3
24,Female,1st Year,1754,Off-campus,Personal Vehicle,1-2,Late night,"Indian, Others","Price, Variety",Maybe,Yes,"Others, Zomato",4,Yes,Yes,36,No,No,No,No,High prices,Limited variety,No,1
23,Female,4th Year,3463,On-campus,Walk,6+,Dinner,"Fast Food, Indian","Speed, Reviews",Yes,No,None,4,Yes,No,33,No,No,Somewhat,Yes,High prices,High price,Yes,1
19,Male,2nd Year,457,On-campus,Personal Vehicle,1-2,Late night,"Others, Indian, Chinese","Speed, Price",No,Yes,"Uber Eats, Zomato",5,Yes,No,22,Maybe,No,Somewhat,Doesn’t matter,High prices,Poor packaging,No,2
20,Male,2nd Year,2362,On-campus,Personal Vehicle,1-2,Varies,Healthy,"Price, Variety, Speed",Yes,No,None,4,Yes,Yes,21,Yes,Maybe,No,Yes,Cold food,"Cold food, Poor packaging",Yes,3
23,Male,2nd Year,1356,Off-campus,Ride-hailing,1-2,Dinner,"Indian, Chinese","Sustainability, Quality",No,Yes,Uber Eats,1,No,No,23,Maybe,No,Somewhat,No,No tracking,"Poor packaging, Late delivery",Yes,2
23,Female,1st Year,1643,On-campus,Personal Vehicle,1-2,Dinner,Healthy,"Reviews, Price, Sustainability",Yes,Yes,"Uber Eats, Talabat, Others",1,Yes,Yes,16,No,Maybe,Yes,No,No tracking,Limited variety,No,3
21,Male,3rd Year,1477,On-campus,Bike,1-2,Late night,"Healthy, Others","Sustainability, Variety, Quality",Maybe,Yes,"Talabat, Uber Eats, Others",4,Yes,Maybe,23,Yes,No,Somewhat,No,High prices,Poor packaging,Yes,5
22,Male,1st Year,1287,Off-campus,Personal Vehicle,3-5,Breakfast,"Chinese, Healthy, Fast Food","Sustainability, Variety, Price",Yes,Yes,"Zomato, Uber Eats",3,Yes,Yes,14,Maybe,Maybe,Yes,Doesn’t matter,Limited menu,"Late delivery, Limited variety, Cold food",Yes,4
25,Male,4th Year,1215,Off-campus,Ride-hailing,3-5,Dinner,"Fast Food, Italian","Price, Variety, Speed",No,No,None,3,Yes,No,33,No,Maybe,Yes,Yes,Limited menu,"Limited variety, Poor packaging",Yes,4
20,Male,2nd Year,1664,On-campus,Ride-hailing,1-2,Varies,"Fast Food, Italian, Indian","Sustainability, Reviews",Yes,Yes,"Zomato, Others",3,No,Yes,36,Maybe,No,Somewhat,Yes,Cold food,Late delivery,Yes,3
23,Male,1st Year,741,On-campus,Ride-hailing,0,Breakfast,"Others, Indian, Chinese","Price, Sustainability",Yes,Yes,"Zomato, Talabat, Others",2,Yes,Maybe,34,Maybe,No,No,No,Limited menu,"Limited variety, Cold food",Maybe,4
21,Female,3rd Year,1875,On-campus,Walk,3-5,Breakfast,"Chinese, Italian, Indian","Quality, Sustainability",Yes,No,None,5,Yes,Yes,13,Yes,No,Somewhat,Yes,High prices,"Late delivery, Poor packaging",Yes,1
21,Male,1st Year,1291,On-campus,Bike,3-5,Breakfast,Chinese,"Variety, Quality, Reviews",Yes,Yes,"Talabat, Others",4,Maybe,Yes,22,Yes,No,Yes,No,Limited menu,High price,Maybe,5
24,Female,2nd Year,934,On-campus,Walk,1-2,Dinner,Healthy,"Sustainability, Reviews, Variety",Yes,Yes,"Zomato, Talabat",2,Yes,No,30,Maybe,Yes,Yes,Yes,No tracking,"High price, Late delivery, Limited variety",Maybe,5
24,Male,4th Year,1274,Off-campus,Public Transport,3-5,Breakfast,Chinese,"Speed, Quality",Yes,Yes,Talabat,3,Yes,Yes,32,Yes,Yes,Somewhat,Doesn’t matter,Cold food,"Cold food, Late delivery",Yes,4
24,Female,1st Year,2128,Off-campus,Bike,1-2,Late night,Fast Food,"Speed, Sustainability, Variety",No,Yes,"Talabat, Others, Zomato",4,Yes,No,10,Yes,Maybe,Yes,Doesn’t matter,High prices,Cold food,No,3
25,Female,4th Year,1232,Off-campus,Personal Vehicle,3-5,Breakfast,"Others, Healthy","Variety, Quality",No,Yes,Zomato,2,Maybe,No,32,Maybe,Maybe,Somewhat,Yes,Late delivery,"Late delivery, High price, Poor packaging",No,1
22,Female,1st Year,1679,On-campus,Ride-hailing,1-2,Varies,"Italian, Indian","Price, Variety",Yes,Yes,"Others, Uber Eats, Zomato",1,Maybe,Yes,12,Yes,Yes,Somewhat,Doesn’t matter,High prices,"Cold food, Late delivery, Limited variety",Yes,3
23,Female,1st Year,1134,Off-campus,Public Transport,0,Lunch,Italian,"Quality, Price, Reviews",No,Yes,"Others, Zomato, Talabat",3,Yes,Yes,23,Yes,Maybe,No,Doesn’t matter,No tracking,"Late delivery, Poor packaging",Maybe,4
21,Male,4th Year,1878,On-campus,Bike,6+,Varies,"Italian, Fast Food, Indian","Quality, Reviews, Variety",Yes,Yes,"Zomato, Uber Eats",2,Yes,Yes,37,No,No,Yes,Doesn’t matter,Late delivery,"Limited variety, Late delivery, Poor packaging",No,5
22,Male,2nd Year,1842,Off-campus,Walk,1-2,Dinner,"Chinese, Italian, Others","Speed, Reviews",No,Yes,"Others, Zomato",1,Maybe,No,36,Yes,Maybe,Somewhat,No,No tracking,"Late delivery, High price",Yes,5
21,Female,1st Year,2424,Off-campus,Ride-hailing,3-5,Breakfast,"Indian, Healthy","Reviews, Variety, Quality",Yes,No,None,3,Yes,Yes,38,No,Maybe,Yes,Yes,Limited menu,High price,Yes,3
22,Prefer not to say,2nd Year,1412,On-campus,Walk,1-2,Breakfast,Others,"Reviews, Variety, Price",No,Yes,"Others, Talabat, Uber Eats",5,Yes,Yes,14,Maybe,Maybe,Somewhat,Yes,High prices,"Limited variety, Cold food",Maybe,2
23,Female,2nd Year,1834,On-campus,Bike,3-5,Late night,Italian,"Variety, Speed",Yes,Yes,"Zomato, Talabat",3,Maybe,Maybe,16,No,Yes,Somewhat,No,Limited menu,"Limited variety, High price",No,3
19,Female,4th Year,1549,Off-campus,Bike,6+,Breakfast,Indian,"Reviews, Variety, Quality",Maybe,Yes,"Uber Eats, Talabat",5,Yes,Yes,19,Maybe,Yes,No,No,Cold food,Late delivery,Yes,2
27,Female,2nd Year,2147,On-campus,Public Transport,0,Varies,Chinese,"Sustainability, Speed",Yes,Yes,"Zomato, Others",5,Yes,Maybe,23,Yes,Maybe,Somewhat,Doesn’t matter,Limited menu,"Limited variety, Late delivery",No,3
19,Female,4th Year,1140,Off-campus,Personal Vehicle,3-5,Dinner,"Healthy, Others","Quality, Sustainability",Yes,Yes,"Others, Uber Eats, Talabat",5,Maybe,No,27,Yes,No,No,Yes,No tracking,"Cold food, Late delivery, High price",Yes,2
18,Male,4th Year,1872,On-campus,Walk,3-5,Lunch,"Fast Food, Indian","Speed, Sustainability, Price",Yes,Yes,"Uber Eats, Zomato",4,Yes,Yes,37,No,Maybe,Yes,No,No tracking,"Limited variety, Late delivery",Yes,2
24,Female,2nd Year,1402,Off-campus,Public Transport,3-5,Breakfast,"Others, Italian","Speed, Reviews",Maybe,Yes,"Others, Uber Eats, Talabat",4,Yes,Yes,15,Maybe,Yes,No,Doesn’t matter,No tracking,"Cold food, Poor packaging",Yes,2
23,Prefer not to say,Postgraduate,1467,On-campus,Ride-hailing,3-5,Lunch,"Fast Food, Italian, Others","Speed, Price",No,Yes,Zomato,5,Yes,No,18,Yes,No,No,Yes,Limited menu,"Limited variety, Late delivery, High price",Maybe,2
23,Male,2nd Year,1545,On-campus,Personal Vehicle,6+,Breakfast,"Indian, Healthy","Price, Quality, Speed",No,Yes,Talabat,1,Yes,Yes,39,No,Maybe,Yes,Doesn’t matter,Late delivery,Cold food,Maybe,1
23,Female,Postgraduate,4878,Off-campus,Public Transport,0,Dinner,Fast Food,"Quality, Variety, Sustainability",Maybe,Yes,"Others, Uber Eats",5,Yes,Yes,13,No,Yes,No,Yes,Late delivery,Cold food,Maybe,2
21,Male,1st Year,1441,On-campus,Walk,1-2,Varies,"Italian, Healthy, Others","Reviews, Price",Maybe,Yes,"Zomato, Uber Eats",2,Yes,Yes,32,No,No,No,Doesn’t matter,Cold food,"Cold food, High price, Poor packaging",No,2
19,Female,3rd Year,1607,On-campus,Bike,6+,Dinner,Indian,"Quality, Variety",No,Yes,"Zomato, Others",5,No,No,24,Yes,Maybe,Somewhat,Yes,No tracking,High price,Maybe,5
22,Male,2nd Year,2289,On-campus,Ride-hailing,3-5,Lunch,Others,"Speed, Variety, Quality",Yes,Yes,"Uber Eats, Talabat",4,Maybe,No,28,Maybe,Yes,No,Yes,Cold food,"High price, Limited variety",Maybe,1
20,Female,2nd Year,1992,On-campus,Walk,0,Breakfast,"Healthy, Indian, Italian","Speed, Quality, Price",Maybe,Yes,Others,4,Yes,Yes,16,Yes,No,Somewhat,Yes,Cold food,Limited variety,No,2
24,Female,3rd Year,1934,On-campus,Personal Vehicle,3-5,Lunch,"Indian, Chinese, Fast Food","Price, Variety, Reviews",Yes,No,None,2,No,Yes,32,Yes,Maybe,No,Yes,No tracking,Cold food,No,4
21,Male,4th Year,1272,On-campus,Personal Vehicle,3-5,Varies,"Others, Fast Food, Italian","Sustainability, Speed",No,Yes,"Talabat, Zomato, Uber Eats",2,No,Maybe,18,Maybe,No,Yes,Doesn’t matter,Limited menu,"Poor packaging, Late delivery, Limited variety",No,1
19,Female,1st Year,1055,Off-campus,Bike,1-2,Dinner,Healthy,"Reviews, Speed",No,Yes,"Uber Eats, Others",3,No,Maybe,10,No,No,Yes,No,High prices,"Limited variety, Late delivery, Poor packaging",No,5
21,Female,1st Year,1977,On-campus,Bike,1-2,Lunch,"Others, Fast Food","Quality, Variety",No,Yes,"Zomato, Talabat",1,Yes,Yes,29,Yes,No,No,Yes,No tracking,High price,Maybe,3
23,Non-binary,4th Year,1938,Off-campus,Ride-hailing,3-5,Lunch,Fast Food,"Reviews, Price",No,Yes,"Uber Eats, Talabat, Others",1,Maybe,Yes,10,No,Yes,Somewhat,Yes,High prices,"Late delivery, Limited variety, Poor packaging",Maybe,5
20,Male,3rd Year,2236,On-campus,Ride-hailing,1-2,Varies,"Fast Food, Italian","Speed, Reviews, Price",No,Yes,Zomato,1,Yes,Maybe,19,No,Maybe,No,Yes,High prices,"High price, Cold food",No,5
19,Male,Postgraduate,1198,On-campus,Bike,3-5,Breakfast,"Others, Indian","Quality, Sustainability",Maybe,Yes,Talabat,4,Yes,Maybe,27,Maybe,No,Somewhat,Yes,Limited menu,"Cold food, Late delivery",Maybe,1
22,Male,4th Year,1385,Off-campus,Bike,3-5,Lunch,Italian,"Reviews, Quality, Variety",Yes,Yes,"Uber Eats, Others",1,Yes,No,32,Maybe,No,No,Doesn’t matter,No tracking,"Poor packaging, High price",Yes,1
22,Prefer not to say,Postgraduate,680,On-campus,Personal Vehicle,1-2,Varies,"Others, Fast Food","Quality, Variety, Reviews",Yes,Yes,"Others, Zomato, Talabat",3,No,Maybe,37,Maybe,No,Yes,No,No tracking,"Late delivery, Poor packaging",Maybe,4
20,Non-binary,4th Year,1303,Off-campus,Bike,1-2,Breakfast,"Others, Fast Food","Variety, Quality",No,Yes,"Talabat, Others",3,Yes,No,42,No,Yes,Yes,No,No tracking,Limited variety,Yes,4
20,Female,2nd Year,1998,On-campus,Public Transport,1-2,Breakfast,"Indian, Fast Food, Others","Sustainability, Price, Reviews",Maybe,Yes,"Talabat, Zomato, Uber Eats",1,Yes,Yes,39,No,No,Somewhat,No,High prices,"Limited variety, High price",No,1
22,Female,1st Year,1266,Off-campus,Walk,1-2,Dinner,"Italian, Others","Sustainability, Reviews, Quality",Yes,Yes,"Others, Zomato",2,No,No,26,Yes,Yes,No,Doesn’t matter,Limited menu,"Cold food, Late delivery",No,1
18,Female,4th Year,1820,Off-campus,Bike,3-5,Varies,Fast Food,"Reviews, Price, Variety",Yes,Yes,"Uber Eats, Others, Talabat",3,Maybe,No,36,No,Yes,Somewhat,No,Late delivery,"Limited variety, Late delivery, Cold food",Maybe,1
18,Female,3rd Year,1404,Off-campus,Ride-hailing,1-2,Breakfast,"Indian, Healthy, Fast Food","Quality, Reviews",Yes,Yes,"Others, Talabat, Uber Eats",2,No,Maybe,26,Maybe,No,Yes,Doesn’t matter,No tracking,"Limited variety, Poor packaging",No,3
20,Male,1st Year,1662,Off-campus,Public Transport,3-5,Dinner,"Indian, Chinese","Quality, Reviews, Sustainability",Yes,Yes,"Zomato, Talabat, Others",4,Yes,Yes,31,Maybe,No,Somewhat,Doesn’t matter,Late delivery,"Cold food, Limited variety, Poor packaging",Maybe,5
21,Female,2nd Year,926,Off-campus,Ride-hailing,1-2,Late night,"Italian, Healthy, Fast Food","Speed, Sustainability",Maybe,Yes,"Talabat, Uber Eats",3,Yes,Yes,19,Maybe,Yes,No,Yes,High prices,"Poor packaging, High price, Cold food",Maybe,4
22,Male,Postgraduate,1542,On-campus,Public Transport,1-2,Varies,"Fast Food, Indian, Chinese","Price, Sustainability",No,Yes,Talabat,2,No,No,29,Maybe,Yes,Somewhat,Doesn’t matter,High prices,Limited variety,Maybe,4
25,Female,3rd Year,100,On-campus,Bike,0,Late night,"Healthy, Chinese","Reviews, Quality, Speed",No,Yes,"Others, Uber Eats",1,Yes,Yes,20,No,No,No,No,Cold food,"Limited variety, High price, Poor packaging",Maybe,2
24,Female,2nd Year,1406,Off-campus,Walk,0,Breakfast,"Fast Food, Others","Reviews, Variety",No,Yes,Uber Eats,4,No,Yes,23,Maybe,Yes,No,No,Limited menu,Poor packaging,Yes,3
21,Female,2nd Year,684,On-campus,Ride-hailing,1-2,Varies,Indian,"Quality, Variety, Sustainability",No,Yes,Zomato,5,Yes,Maybe,29,Yes,Yes,Yes,No,Cold food,"Late delivery, Cold food, High price",Yes,1
21,Male,1st Year,2102,On-campus,Public Transport,1-2,Dinner,"Healthy, Chinese, Others","Reviews, Price, Speed",Yes,Yes,"Uber Eats, Talabat",5,Maybe,Yes,45,No,No,No,Yes,Late delivery,"Late delivery, Cold food, Poor packaging",No,1
19,Male,2nd Year,1888,Off-campus,Personal Vehicle,6+,Breakfast,"Healthy, Indian","Reviews, Speed, Variety",Yes,Yes,"Uber Eats, Zomato, Talabat",1,Yes,No,28,Maybe,No,No,Yes,High prices,"Limited variety, Cold food",Yes,3
21,Male,2nd Year,1733,On-campus,Bike,3-5,Varies,"Fast Food, Indian, Chinese","Sustainability, Quality, Speed",Yes,Yes,"Zomato, Uber Eats",4,Yes,Maybe,24,Yes,Maybe,No,Yes,No tracking,"Limited variety, Late delivery, Poor packaging",No,4
21,Male,1st Year,2260,Off-campus,Walk,1-2,Varies,Fast Food,"Quality, Price",Yes,Yes,Talabat,4,Maybe,Yes,16,Maybe,No,Somewhat,Doesn’t matter,No tracking,"Limited variety, Late delivery",No,1
22,Male,4th Year,1025,Off-campus,Bike,1-2,Late night,Others,"Speed, Quality, Reviews",Yes,Yes,Talabat,4,Yes,Maybe,33,No,No,Yes,No,Limited menu,"Limited variety, Poor packaging",Maybe,2
19,Non-binary,2nd Year,2373,Off-campus,Personal Vehicle,1-2,Breakfast,Fast Food,"Reviews, Price, Speed",Yes,Yes,"Uber Eats, Talabat, Others",4,Yes,No,21,No,No,Somewhat,Doesn’t matter,Late delivery,"Poor packaging, Limited variety, Late delivery",Maybe,4
23,Female,4th Year,1966,Off-campus,Walk,1-2,Dinner,"Italian, Healthy, Others","Speed, Quality, Variety",Yes,Yes,"Uber Eats, Zomato",5,Maybe,Yes,28,Yes,Maybe,Somewhat,Doesn’t matter,Cold food,Cold food,Maybe,5
25,Male,4th Year,1381,On-campus,Personal Vehicle,1-2,Dinner,"Fast Food, Others","Quality, Reviews, Sustainability",Yes,Yes,"Uber Eats, Zomato, Others",2,Yes,Yes,32,No,Yes,Yes,No,Late delivery,"Late delivery, Limited variety, Cold food",Maybe,3
21,Male,1st Year,2067,On-campus,Bike,1-2,Breakfast,Fast Food,"Price, Variety, Reviews",No,Yes,Uber Eats,4,Yes,Maybe,37,Yes,No,Somewhat,Yes,Late delivery,Limited variety,Maybe,4
23,Male,3rd Year,946,Off-campus,Public Transport,1-2,Breakfast,"Chinese, Fast Food, Others","Variety, Speed",Yes,Yes,"Others, Talabat",2,Yes,Yes,33,Maybe,No,Somewhat,No,Limited menu,"Late delivery, High price",Maybe,5
